Face,Side,Under,Top,Plant No,Red,Yellow,Venation,Scorer,Comments,,,,,,,,
P06066667,P06066668,P06066669,P06066670,pB0064,1.5,2.5,3.5,"Sean,Helena and PS",,,,,,,,,
P06066671,P06066672,P06066673,P06066674,pB0401,3,0.5,3,"Sean,Helena and PS",,,,,,,,,
P06066675,P06066676,P06066677,P06066678,pB0054,3.5,2,4,"Sean,Helena and PS",,,,,,,,,
P06066679,P06066680,P06066681,P06066682,pA0212,0.5,2.5,2.5,"Sean,Helena and PS",,,,,,,,,
P06066683,P06066684,P06066685,P06066686,pB0482,2,2.5,3,"Sean,Helena and PS",,,,,,,,,
P06066687,P06066688,P06066689,P06066690,pA1851,1.5,2,2.5,"Sean,Helena and PS",,,,,,,,,
P06066691,P06066692,P06066693,P06066694,pB0787,0.5,2.5,2.5,"Sean,Helena and PS",,,,,,,,,
P06066695,P06066696,P06066697,P06066698,pA0666,0.5,3,1.5,"Sean,Helena and PS",,,,,,,,,
P06066699,P06066700,P06066701,P06066702,pB0468,2,2.5,3.5,"Sean,Helena and PS",,,,,,,,,
P06066703,P06066704,P06066705,P06066706,pB0080,3.5,1,3.5,"Sean,Helena and PS",,,,,,,,,
P06066707,P06066708,P06066709,P06066710,pB0084,4,2.5,3.5,"Sean,Helena and PS",,,,,,,,,
P06066711,P06066712,P06066713,P06066714,pB0110,2,1,3.5,"Sean,Helena and PS",,,,,,,,,
P06096718,P06096719,P06096720,P06096721,pB0891,4,1,3.5,Helena and PS,,,,,,,,,
P06096722,P06096723,P06096724,P06096725,pB0897,2,2.5,4,Helena and PS,,,,,,,,,
P06096726,P06096727,P06096728,P06096729,pB0945,3.5,1,4,Helena and PS,old,,,,,,,,
P06096730,P06096731,P06096732,P06096733,pB0956,4,1,3.5,Helena and PS,,,,,,,,,
P06096734,P06096735,P06096736,P06096737,pB1064,0.5,2.5,3,Helena and PS,,,,,,,,,
P06096738,P06096739,P06096740,P06096741,pB0900,0.5,2.5,1,Helena and PS,,,,,,,,,
P06096742,P06096743,P06096744,P06096745,pB0959,3.5,1,3,Helena and PS,,,,,,,,,
P06096746,P06096747,P06096748,P06096749,pB0889,3.5,1,3,Helena and PS,,,,,,,,,
P06096750,P06096751,P06096752,P06096753,pB0950,3,1,3.5,Helena and PS,,,,,,,,,
P06096754,P06096755,P06096756,P06096757,pB0899,4,1,3.5,Helena and PS,,,,,,,,,
NA,NA,NA,NA,pB1079,NA,NA,NA,Helena and PS,no flower,,,,,,,,
P06096758,P06096759,P06096760,P06096761,pB0967,0.5,2.5,2.5,Helena and PS,,,,,,,,,
P06096762,P06096763,P06096764,P06096765,pB0949,0.5,2.5,1,Helena and PS,,,,,,,,,
P06096766,P06096767,P06096768,P06096769,pB0965,0.5,2.5,2.5,Helena and PS,,,,,,,,,
P06096770,P06096771,P06096772,P06096773,pB0969,0.5,2.5,1.5,Helena and PS,,,,,,,,,
P06096774,P06096775,P06096776,P06096777,pB0932,0.5,2.5,2.5,Helena and PS,,,,,,,,,
P06096778,P06096779,P06096780,P06096781,pB0933,1.5,1,3.5,Helena and PS,,,,,,,,,
P06096782,P06096783,P06096784,P06096785,pB0903,0.5,3,1,Helena and PS,,,,,,,,,
P06096786,P06096787,P06096788,P06096789,pB0906,0.5,2.5,1,Helena and PS,,,,,,,,,
P06096790,P06096791,P06096792,P06096793,pB0930,0.5,2.5,1.5,Helena and PS,,,,,,,,,
P06096794,P06096795,P06096796,P06096797,pB0902,0.5,2.5,na,Helena and PS,deformed,,,,,,,,
P06096798,P06096799,P06096800,P06096801,pB0904,1,2.5,2,Helena and PS,,,,,,,,,
P06096802,P06096803,P06096804,P06096805,pB0909,0.5,2.5,na,Helena and PS,damaged,,,,,,,,
P06096806,P06096807,P06096808,P06096809,pB0907,0.5,2.5,1.5,Helena and PS,,,,,,,,,
P06096810,P06096811,P06096812,P06096813,pB0939,0.5,2,1,Helena and PS,,,,,,,,,
P06096814,P06096815,P06096816,P06096817,pB0901,0.5,2.5,1,Helena and PS,,,,,,,,,
P06096818,P06096819,P06096820,P06096821,pB0937,0.5,3,1.5,Helena and PS,,,,,,,,,
P06096822,P06096823,P06096824,P06096825,pB0912,4,1,3.5,Helena and PS,,,,,,,,,
P06096826,P06096827,P06096828,P06096829,pB0915,0.5,2.5,na,Helena and PS,not open,,,,,,,,
P06096830,P06096831,P06096832,P06096833,pB0882,0.5,3,1.5,Helena and PS,,,,,,,,,
P06096834,P06096835,P06096836,P06096837,pB0917,0.5,2.5,2.5,Helena and PS,,,,,,,,,
P06096838,P06096839,P06096840,P06096841,pB0975,1,2.5,2,Helena and PS,,,,,,,,,
P06096842,P06096843,P06096844,P06096845,pB0913,0.5,2.5,1,Helena and PS,,,,,,,,,
P06096846,P06096847,P06096848,P06096849,pB0914,1.5,2.5,2,Helena and PS,,,,,,,,,
P06096850,P06096851,P06096852,P06096853,pB0919,1.5,2.5,1.5,Helena and PS,old,,,,,,,,
P06096854,P06096855,P06096856,P06096857,pB0973,0.5,2.5,2.5,Helena and PS,,,,,,,,,
P06096858,P06096859,P06096860,P06096861,pB0928,0.5,2.5,1,Helena and PS,,,,,,,,,
P06096862,P06096863,P06096864,P06096865,pB0977,0.5,2.5,1.5,Helena and PS,,,,,,,,,
P06096866,P06096867,P06096868,P06096869,pB0911,0.5,3,3,Helena and PS,,,,,,,,,
P06096870,P06096871,P06096872,P06096873,pB0976,0.5,2.5,1,Helena and PS,,,,,,,,,
P06096874,P06096875,P06096876,P06096877,pB0916,0.5,2.5,2,Helena and PS,,,,,,,,,
P06096878,P06096879,P06096880,na,pB0921,0.5,2.5,1,Helena and PS,,,,,,,,,
P06096881,P06096882,P06096883,P06096884,pB1065,0.5,2.5,3,Helena and PS,,,,,,,,,
P06096885,P06096886,P06096887,P06096888,pB0922,0.5,2.5,1,Helena and PS,damaged,,,,,,,,
P06096889,P06096890,P06096891,P06096892,pB1067,1.5,1,2,Helena and PS,damaged,,,,,,,,
P06096893,P06096894,P06096895,P06096896,pB0924,0.5,2.5,1,Helena and PS,,,,,,,,,
P06096897,P06096898,P06096899,P06096900,pB1063,0.5,2.5,2,Helena and PS,,,,,,,,,
P06096901,P06096902,P06096903,P06096904,pB0847,1,2.5,2,Helena and PS,,,,,,,,,
P06096905,P06096906,P06096907,P06096908,pB1068,0.5,2.5,1,Helena and PS,,,,,,,,,
P06096909,P06096910,P06096911,P06096912,pB0812,0.5,2.5,1,Helena and PS,,,,,,,,,
P06096913,P06096914,P06096915,P06096916,pB1069,2,1.5,4,Helena and PS,,,,,,,,,
P06096917,P06096918,P06096919,P06096920,pB0920,0.5,3,1,Helena and PS,,,,,,,,,
P06096921,P06096922,P06096923,P06096924,pB1074,0.5,2.5,3,Helena and PS,,,,,,,,,
P06096925,P06096926,P06096927,P06096928,pB0918,0.5,2.5,2.5,Helena and PS,,,,,,,,,
P06096929,P06096930,P06096931,P06096932,pB1066,0.5,2.5,1.5,Helena and PS,,,,,,,,,
P06096933,P06096934,P06096935,P06096936,pB1080,0.5,3,3,Helena and PS,,,,,,,,,
P06096937,P06096938,P06096939,P06096940,pB1075,0.5,2.5,1.5,Helena and PS,,,,,,,,,
P06096941,P06096942,P06096943,P06096944,pB1077,0.5,3,1.5,Helena and PS,damaged,,,,,,,,
P06096945,P06096946,P06096947,P06096948,pB1072,0.5,3,3,Helena and PS,,,,,,,,,
P06096949,P06096950,P06096951,P06096954,pB1076,0.5,2.5,2,Helena and PS,,,,,,,,,
P06096955,P06096956,P06096957,P06096958,pB1070,0.5,2.5,2.5,Helena and PS,,,,,,,,,
P06096959,P06096960,P06096961,P06096962,pB1073,1.5,2.5,4,Helena and PS,,,,,,,,,
P06096963,P06096964,P06096965,P06096966,pB1078,0.5,2.5,2,Helena and PS,damaged,,,,,,,,
P06096967,P06096968,P06096969,P06096970,pB1014,4,1,3.5,Helena and PS,,,,,,,,,
P06096971,P06096972,P06096973,P06096974,pB1056,4,0.5,4,Helena and PS,,,,,,,,,
P06096975,P06096976,P06096977,P06096978,pB1037,3.5,0.5,3,Helena and PS,,,,,,,,,
P06096979,P06096980,P06096981,P06096982,pB1012,4,1,3.5,Helena and PS,,,,,,,,,
P06096983,P06096984,P06096985,P06096986,pB1047,3,1,3.5,Helena and PS,,,,,,,,,
P06096987,P06096988,P06096989,P06096990,pB1025,4,0.5,3.5,Helena and PS,,,,,,,,,
P06096991,P06096992,P06096993,P06096994,pB1039,4.5,0.5,3.5,Helena and PS,,,,,,,,,
P06096995,P06096996,P06096997,P06096998,pB1034,4,0.5,4,Helena and PS,,,,,,,,,
na,na,na,na,pB1071,,,,Helena and PS,,,,,,,,,
P06096999,P06097000,P06097001,P06097002,pB1050,4,1,3,Helena and PS,,,,,,,,,
P06097003,P06097004,P06097005,P06097006,pB1032,4,0.5,3.5,Helena and PS,,,,,,,,,
P06097007,P06097008,P06097009,P06097010,pB1030,4,1,3.5,Helena and PS,,,,,,,,,
P06097011,P06097012,P06097013,P06097014,pB1021,na,1,na,Helena and PS,damaged,,,,,,,,
P06097015,P06097016,P06097017,P06097018,pB1036,4,0.5,4,Helena and PS,,,,,,,,,
P06097019,P06097020,P06097021,P06097022,pB1041,4,1,3,Helena and PS,,,,,,,,,
P06097023,P06097024,P06097025,P06097026,pB1016,3.5,0.5,3.5,Helena and PS,,,,,,,,,
P06097027,P06097028,P06097029,P06097030,pB1028,4,1,3.5,Helena and PS,,,,,,,,,
P06097031,P06097032,P06097033,P06097034,pB1024,4,0.5,na,Helena and PS,,,,,,,,,
P06097035,P06097036,P06097037,P06097038,pB1033,4,0.5,3.5,Helena and PS,,,,,,,,,
P06097039,P06097040,P06097041,P06097042,pB1027,4,0.5,3.5,Helena and PS,,,,,,,,,
P06097043,P06097044,P06097045,P06097046,pB1026,3.5,1,4,Helena and PS,not completely open,,,,,,,,
P06097047,P06097048,P06097049,P06097050,pB0991,4.5,0.5,3.5,Helena and PS,,,,,,,,,
